# Name         	     ra	    dec	   dist	disterr	   vlos	vloserr	  sigma	   rmax	   pmra	  pmdec	    plx	 pmra_e	pmdec_e	 pmcorr	  plx_e
HP_1_BH_229    	262.772	-29.982	   7.00	   0.14	  39.76	   1.22	    5.3	    3.0	  2.487	-10.079	  0.125	  0.038	  0.036	  0.030	  0.013
FSR_1758       	262.800	-39.808	  11.09	   0.74	 227.31	   0.59	    5.0	    10.	 -2.883	  2.515	  0.118	  0.026	  0.026	  0.007	  0.011
NGC_6362       	262.979	-67.048	   7.65	   0.07	 -14.58	   0.18	    3.7	   12.0	 -5.506	 -4.764	  0.134	  0.024	  0.024	  0.001	  0.010
Liller_1       	263.352	-33.390	   8.06	   0.34	  60.36	   2.44	    3.0	    2.0	 -5.422	 -7.504	 -0.126	  0.092	  0.064	  0.304	  0.072
NGC_6380_Ton1  	263.617	-39.069	   9.61	   0.30	  -1.48	   0.73	    8.3	    4.0	 -2.158	 -3.243	  0.100	  0.031	  0.030	  0.005	  0.013
Terzan_1_HP_2  	263.946	-30.481	   5.67	   0.17	  56.75	   1.61	    7.8	    3.0	 -2.763	 -4.892	  0.067	  0.065	  0.060	  0.043	  0.026
Ton2_Pismis26  	264.044	-38.553	   6.99	   0.34	-184.72	   1.12	    2.8	    3.0	 -5.939	 -0.749	  0.142	  0.029	  0.028	  0.022	  0.013
NGC_6388       	264.072	-44.736	  11.17	   0.16	  83.11	   0.45	   17.8	   10.0	 -1.319	 -2.708	  0.103	  0.026	  0.026	  0.001	  0.011
NGC_6402_M_14  	264.400	 -3.246	   9.14	   0.25	 -60.71	   0.45	   10.9	    8.0	 -3.583	 -5.057	  0.129	  0.026	  0.025	  0.004	  0.011
NGC_6401       	264.652	-23.910	   8.06	   0.24	-105.44	   2.50	    8.6	    3.0	 -2.751	  1.450	  0.146	  0.034	  0.033	  0.026	  0.012
NGC_6397       	265.175	-53.674	   2.48	   0.02	  18.51	   0.08	    5.4	   25.0	  3.253	-17.659	  0.416	  0.025	  0.025	 -0.000	  0.010
VVV_CL002      	265.276	-28.845	   8.00	    nan	    nan	    nan	    0.1	    1.0	 -9.127	  2.334	  0.148	  0.096	  0.054	  0.254	  0.080
Pal_6          	265.926	-26.223	   7.05	   0.45	 177.00	   1.35	    6.4	    3.0	 -9.226	 -5.291	  0.108	  0.039	  0.037	  0.039	  0.015
NGC_6426       	266.228	  3.170	  20.71	   0.35	-210.51	   0.51	    2.2	    4.0	 -1.827	 -3.001	  0.053	  0.026	  0.026	  0.010	  0.012
Djorg_1        	266.868	-33.066	   9.88	   0.65	-359.18	   1.64	    3.3	    2.0	 -4.777	 -8.487	  0.067	  0.041	  0.036	 -0.009	  0.028
