# Name         	     ra	    dec	   dist	disterr	   vlos	vloserr	  sigma	   rmax	   pmra	  pmdec	    plx	 pmra_e	pmdec_e	 pmcorr	  plx_e
NGC_6656_M_22  	279.100	-23.905	   3.30	   0.04	-148.72	   0.78	    8.6	   20.0	  9.850	 -5.609	  0.312	  0.026	  0.026	  0.001	  0.010
Pal_8          	280.375	-19.826	  11.32	   0.63	 -31.54	   0.21	    2.7	    4.0	 -1.991	 -5.690	  0.112	  0.027	  0.027	  0.011	  0.012
NGC_6681_M_70  	280.803	-32.292	   9.36	   0.11	 216.62	   0.84	    7.0	    6.0	  1.441	 -4.743	  0.120	  0.026	  0.026	  0.009	  0.011
Ryu_879_RLGC2  	281.367	 -5.192	  15.80	    nan	    nan	    nan	    0.1	    0.8	 -2.403	 -1.844	  0.101	  0.060	  0.054	  0.341	  0.056
NGC_6712       	283.268	 -8.706	   7.38	   0.24	-107.45	   0.29	    4.8	    5.0	  3.363	 -4.452	  0.144	  0.027	  0.027	  0.012	  0.011
NGC_6715_M_54  	283.764	-30.480	  26.28	   0.33	 143.13	   0.43	   16.9	    6.0	 -2.683	 -1.385	  0.055	  0.025	  0.025	  0.007	  0.011
NGC_6717_Pal9  	283.775	-22.701	   7.52	   0.13	  30.25	   0.90	    2.3	    3.0	 -3.138	 -5.016	  0.128	  0.027	  0.027	  0.023	  0.012
NGC_6723       	284.888	-36.632	   8.27	   0.10	 -94.39	   0.26	    5.5	   10.0	  1.024	 -2.414	  0.131	  0.025	  0.025	  0.005	  0.011
NGC_6749       	286.314	  1.901	   7.59	   0.21	 -58.44	   0.96	    3.4	    5.0	 -2.839	 -5.994	  0.141	  0.027	  0.027	  0.010	  0.011
NGC_6752       	287.717	-59.985	   4.12	   0.04	 -26.01	   0.12	    8.3	   25.0	 -3.168	 -4.025	  0.255	  0.024	  0.024	  0.000	  0.010
NGC_6760       	287.800	  1.030	   8.41	   0.43	  -2.37	   1.27	    7.3	    6.0	 -1.092	 -3.615	  0.135	  0.026	  0.026	  0.010	  0.011
NGC_6779_M_56  	289.148	 30.183	  10.43	   0.14	-136.97	   0.45	    5.0	    8.0	 -2.015	  1.611	  0.090	  0.025	  0.026	  0.003	  0.011
Terzan_7       	289.433	-34.658	  24.28	   0.49	 159.85	   0.14	    1.3	    3.0	 -3.003	 -1.654	  0.052	  0.028	  0.028	  0.030	  0.014
Pal_10         	289.509	 18.572	   8.94	   1.18	 -31.70	   0.23	    3.7	    4.0	 -4.320	 -7.172	  0.122	  0.027	  0.027	  0.007	  0.012
Arp_2          	292.184	-30.356	  28.73	   0.34	 122.64	   0.29	    1.3	    3.0	 -2.323	 -1.491	  0.050	  0.028	  0.027	  0.025	  0.016
NGC_6809_M_55  	294.999	-30.965	   5.35	   0.05	 174.70	   0.17	    4.9	   15.0	 -3.432	 -9.312	  0.204	  0.024	  0.024	  0.001	  0.010
Terzan_8       	295.435	-33.999	  27.54	   0.42	 148.43	   0.17	    1.7	    5.0	 -2.492	 -1.579	  0.048	  0.027	  0.026	 -0.021	  0.012
Pal_11         	296.310	 -8.007	  14.02	   0.51	 -67.64	   0.76	    2.4	    4.0	 -1.747	 -4.957	  0.099	  0.027	  0.027	  0.020	  0.013
NGC_6838_M_71  	298.444	 18.779	   4.00	   0.05	 -22.72	   0.20	    2.9	   10.0	 -3.415	 -2.655	  0.251	  0.025	  0.025	  0.001	  0.010
NGC_6864_M_75  	301.520	-21.921	  20.52	   0.45	-189.08	   1.12	   11.3	    6.0	 -0.592	 -2.806	  0.067	  0.026	  0.026	  0.010	  0.012
